appid,name_x,release_date,price,rating,achievements,developer_id,publisher_id,gameid
2520,Gumboy - Crazy Adventures™,2006-12-19,4.99,50.79,0,18,16,
2540,RIP - Trilogy™,2007-06-01,4.99,60.86,0,19,17,
2570,Vigil: Blood Bitterness™,2007-06-29,,24.65,0,20,18,
2590,Alpha Prime,2007-11-07,4.99,58.39,0,21,19,
2600,Vampire: The Masquerade - Bloodlines,2007-03-22,19.99,91.82,0,22,20,
2610,GUN™,2006-10-13,14.99,85.89,0,23,20,
2620,Call of Duty®,2006-10-13,19.99,90.8,0,24,20,
2630,Call of Duty® 2,2006-10-13,19.99,89.57,0,24,20,
2640,Call of Duty: United Offensive,2006-10-13,19.99,82.37,0,25,20,
2700,RollerCoaster Tycoon® 3: Platinum,2008-03-12,,86.89,0,26,21,
2710,Act of War: Direct Action,2008-03-12,2.99,82.65,0,27,22,
2720,ThreadSpace: Hyperbol,2007-07-12,3.99,74.53,0,28,23,
2780,ARMA: Combat Operations,2008-03-12,6.49,65.33,0,29,19,
2800,X2: The Threat,2006-07-21,4.99,77.36,0,30,24,
2810,X3: Reunion,2006-07-21,9.99,69.53,0,30,24,
2820,X3: Terran Conflict,2008-10-16,15.99,80.85,33,30,24,
2840,X: Beyond the Frontier,2010-10-08,4.49,69.31,0,30,24,
2850,X: Tension,2010-10-08,4.49,68.41,0,30,24,
2870,X Rebirth,2013-11-15,29.99,41.92,69,30,24,
2900,688(I) Hunter/Killer,2006-10-26,27.99,69.7,0,6,6,
2910,Fleet Command,2006-10-26,27.99,78.78,0,6,6,
2920,Sub Command,2006-10-26,27.99,68.29,0,6,6,
2990,FlatOut 2™,2006-12-21,9.99,93.03,0,31,6,
3010,Xpand Rally,2006-08-24,4.99,73.67,0,32,25,
3020,Call of Juarez,2007-11-08,9.99,78.99,0,32,26,
3050,Xpand Rally Xtreme,2008-10-08,4.99,72.44,0,32,25,
3130,Men of War: Red Tide,2009-11-01,4.99,81.01,0,33,27,
3170,King's Bounty: Armored Princess,2009-11-19,9.99,85.98,0,34,27,
3230,Genesis Rising,2007-08-06,4.99,33.39,0,35,22,
3260,Safecracker: The Ultimate Puzzle Adventure,2007-08-29,4.99,56.26,0,36,28,
3270,Painkiller Overdose,2007-10-30,4.99,68.93,0,37,29,
3300,Bejeweled 2 Deluxe,2006-08-30,4.99,86.82,0,38,30,
3310,Chuzzle Deluxe,2006-08-30,4.99,86.37,0,38,30,
3320,Insaniquarium Deluxe,2006-08-30,4.99,92.43,0,38,30,
3330,Zuma Deluxe,2006-08-30,4.99,90.02,0,38,30,
3340,AstroPop Deluxe,2006-08-30,4.99,69.35,0,38,30,
3350,Bejeweled Deluxe,2006-08-30,4.99,78.77,0,38,30,
3360,Big Money! Deluxe,2006-08-30,4.99,78.8,0,38,30,
3380,Dynomite Deluxe,2006-08-30,4.99,85.07,0,38,30,
3390,Feeding Frenzy 2 Deluxe,2006-08-30,4.99,91.42,0,38,30,
3400,Hammer Heads Deluxe,2006-08-30,,77.75,0,38,30,
3410,Heavy Weapon Deluxe,2006-08-30,4.99,75.14,0,38,30,
3420,Iggle Pop Deluxe,2006-08-30,4.99,73.19,0,38,30,
3430,Pizza Frenzy Deluxe,2006-08-30,4.99,85.35,0,38,30,
3450,Typer Shark! Deluxe,2006-08-30,4.99,75.07,0,38,30,
3460,Talismania Deluxe,2006-08-30,4.99,78.6,0,38,30,
3480,Peggle Deluxe,2007-03-06,4.99,93.11,0,38,30,
3483,Peggle Extreme,2007-09-11,0.0,64.08,0,38,30,
3490,Venice Deluxe,2007-06-25,,70.33,0,39,30,
3500,Mystery P.I.™ - The Lottery Ticket,2007-10-16,4.99,67.76,0,40,30,
3510,Amazing Adventures The Lost Tomb™,2007-12-13,4.99,71.46,0,40,30,
3520,Mystery P.I.™ - The Vegas Heist,2008-06-05,4.99,66.57,0,40,30,
3530,Amazing Adventures Around the World,2009-04-15,4.99,70.76,0,40,30,
3540,Peggle™ Nights,2008-10-15,4.99,89.46,0,38,30,
3560,Bejeweled Twist,2008-11-18,4.99,76.64,0,38,30,
3570,Mystery P.I.™ - The New York Fortune,2009-01-28,4.99,67.4,0,40,30,
3580,The Wizard's Pen™,2009-02-18,4.99,73.2,0,38,30,
3590,Plants vs. Zombies GOTY Edition,2009-05-05,4.99,95.44,21,38,30,
3600,Escape Rosecliff Island,2009-04-15,4.99,69.77,0,40,30,
3610,Mystery P.I. - Lost in Los Angeles,2009-07-27,4.99,67.59,0,40,30,
3620,Zuma's Revenge!,2009-09-15,4.99,89.95,14,38,30,
3700,Sniper Elite,2009-07-16,7.99,75.04,0,41,31,
3710,Judge Dredd: Dredd vs. Death,2009-03-26,7.99,82.93,0,41,31,
3720,Evil Genius,2009-06-22,9.99,90.67,0,42,31,
3730,Aliens versus Predator Classic 2000,2010-01-15,4.99,83.63,0,41,31,
3800,Advent Rising,2006-09-14,9.99,75.62,0,43,32,
3810,BloodRayne (Legacy),2006-09-14,,74.49,0,44,32,
3820,BloodRayne 2 (Legacy),2006-09-14,,66.99,0,44,32,
3830,Psychonauts,2006-10-11,8.19,93.3,37,45,33,
3900,Sid Meier's Civilization® IV,2006-10-25,19.99,88.28,0,46,34,
3910,Sid Meier's Civilization® III Complete,2006-10-25,4.99,87.55,0,46,34,
3920,Sid Meier's Pirates!,2005-07-11,9.99,91.0,0,46,34,
3960,Shattered Union,2006-10-25,4.99,50.96,0,47,34,
3980,CivCity: Rome,2007-04-06,9.99,69.06,0,48,34,
3990,Civilization IV®: Warlords,2007-04-06,4.99,84.4,0,46,34,
4000,Garry's Mod,2006-11-29,9.99,95.87,29,49,0,
4100,Poker Superstars II,2006-10-05,9.99,47.89,0,50,35,
4230,RACE - The WTCC Game,2006-11-24,29.95,71.62,0,51,36,
4290,RACE: Caterham Expansion,2007-06-22,4.99,55.69,0,51,36,
4300,RoboBlitz,2006-11-07,9.99,68.41,0,52,37,
4420,Silverfall,2007-03-20,4.99,55.6,0,53,38,
4460,City Life 2008,2008-09-29,9.99,68.93,0,53,38,
4470,Silverfall: Earth Awakening,2008-07-18,4.99,65.99,0,53,38,
4500,S.T.A.L.K.E.R.: Shadow of Chernobyl,2007-03-20,15.99,92.77,0,54,39,
4520,Full Spectrum Warrior,2007-07-17,6.99,63.14,0,55,22,
4530,Full Spectrum Warrior: Ten Hammers,2007-07-17,9.99,65.56,0,55,22,
4560,Company of Heroes - Legacy Edition,2007-07-17,12.99,89.45,0,56,40,
4570,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2007-08-07,12.99,92.37,0,56,40,
4580,"Warhammer® 40,000: Dawn of War® - Dark Crusade",2007-08-07,12.99,92.92,0,56,40,
4700,Total War: MEDIEVAL II – Definitive Edition,2006-11-15,24.99,93.28,0,57,40,
4720,Condemned: Criminal Origins,2012-10-29,9.99,83.5,0,58,40,
4760,Rome: Total War™ - Collection,2007-08-28,,91.7,0,57,40,
4770,Rome: Total War™ - Alexander,2007-08-28,,70.61,0,59,40,
4780,Medieval II: Total War™ Kingdoms,2007-08-28,24.99,88.15,0,59,40,
4800,Heroes of Annihilated Empires,2006-11-22,14.99,83.23,0,54,39,
4850,Cossacks: Back to War,2010-09-02,4.99,84.23,0,54,41,
4856,Cossacks: Campaign Expansion,2011-01-21,3.99,63.45,0,54,41,4850
4870,Cossacks: Art of War,2011-08-26,4.99,75.53,0,54,41,
4880,Cossacks: European Wars,2011-08-26,4.99,67.83,0,54,41,
4890,Cossacks II: Battle for Europe,2011-08-26,4.99,73.86,0,54,41,
4900,Zen of Sudoku,2006-12-14,0.0,78.45,0,60,42,
4920,Natural Selection 2,2012-10-30,9.99,83.34,137,60,42,
6000,STAR WARS™ Republic Commando™,2009-07-08,8.19,92.79,0,61,43,
6010,Indiana Jones® and the Fate of Atlantis™,2009-07-08,4.99,88.67,0,61,43,
6020,STAR WARS™ Jedi Knight - Jedi Academy™,2009-09-16,8.19,93.1,0,15,43,
6030,STAR WARS™ Jedi Knight II - Jedi Outcast™,2009-09-16,8.19,87.7,0,15,43,
6040,The Dig®,2009-07-08,4.99,86.59,0,61,43,
6060,"Star Wars: Battlefront 2 (Classic, 2005)",2009-07-08,8.19,92.17,0,55,44,
6080,Thrillville®: Off the Rails™,2009-07-08,,86.63,0,26,43,
6090,Armed and Dangerous®,2009-07-08,4.99,83.49,0,62,43,
6120,Shank,2010-10-25,9.99,86.62,12,63,45,
6200,Ghost Master®,2006-12-21,4.99,84.64,0,64,6,
6210,Vegas: Make It Big™,2006-12-21,4.99,70.23,0,65,6,
6220,FlatOut,2007-02-02,6.99,88.96,0,31,6,
6250,Making History: The Calm and the Storm,2007-03-13,4.99,74.84,0,66,6,
6270,Ducati World Championship,2007-09-21,4.99,42.73,0,67,6,
6300,Dreamfall: The Longest Journey,2007-01-12,19.99,79.8,0,68,46,
6310,The Longest Journey,2007-05-01,9.99,85.94,0,68,46,
6370,Bloodline Champions,2011-10-28,0.0,73.26,0,69,47,
6400,Joint Task Force,2007-03-27,6.59,80.88,0,70,48,
6420,Nexus - The Jupiter Incident,2007-07-03,9.99,80.15,0,71,28,
6510,Lost Planet™: Extreme Condition,2007-06-29,14.99,74.85,0,72,49,
6550,Devil May Cry® 3 Special Edition,2007-06-12,19.99,57.72,0,72,49,
6600,Bullet Candy,2007-02-14,3.99,49.43,20,73,50,
6800,Commandos: Behind Enemy Lines,2007-03-15,4.99,85.2,0,74,51,
6810,Commandos: Beyond the Call of Duty,2007-03-15,4.99,82.47,0,74,51,
6830,Commandos 2: Men of Courage,2007-03-15,4.99,81.05,0,74,51,
6840,Commandos 3: Destination Berlin,2007-03-15,4.99,60.46,0,74,51,
6850,Hitman 2: Silent Assassin,2007-03-15,8.99,79.88,0,75,52,
6860,Hitman: Blood Money,2007-03-15,9.99,90.93,0,75,52,
6870,Battlestations: Midway,2007-03-15,6.99,73.14,0,76,53,
6880,Just Cause,2007-03-15,6.99,65.34,0,77,53,
6900,Hitman: Codename 47,2007-03-15,7.99,70.08,0,78,54,
6910,Deus Ex: Game of the Year Edition,2007-03-29,6.99,92.09,0,79,53,
6920,Deus Ex: Invisible War,2007-03-29,6.99,56.07,0,79,53,
6980,Thief: Deadly Shadows,2007-03-29,8.99,78.5,0,79,53,
7000,Tomb Raider: Legend,2007-03-29,6.99,85.21,0,80,53,
7010,Project: Snowblind,2007-03-29,5.99,71.26,0,80,53,
7020,Rogue Trooper,2007-03-29,9.99,85.86,0,41,31,
7110,Jade Empire™: Special Edition,2007-02-27,14.99,71.9,0,81,55,
7200,Trackmania United Forever,2008-04-16,29.99,89.6,0,82,9,
7210,"Runaway, A Road Adventure",2007-03-14,4.99,71.08,0,83,38,
7220,"Runaway, The Dream of The Turtle",2007-03-14,9.99,51.64,0,83,38,
7260,Loki,2007-10-05,9.99,57.49,0,84,56,
7340,Azada,2010-04-21,9.99,63.75,0,85,57,
7510,X-Blades,2009-04-30,9.99,58.3,0,86,8,
7520,Two Worlds II HD,2011-02-03,19.99,58.49,66,10,8,
7530,Two Worlds II Castle Defense,2011-06-14,9.99,43.61,0,10,8,
7600,Sid Meier's Railroads!,2007-05-04,9.99,68.05,0,46,34,
7610,Railroad Tycoon 3,2007-05-04,9.99,73.87,0,47,34,
7620,Railroad Tycoon II Platinum,2007-05-04,4.99,83.23,0,47,34,
7650,X-COM: Terror From the Deep,2007-05-04,4.99,86.09,0,87,34,
7660,X-COM: Apocalypse,2008-09-04,4.99,84.11,0,87,34,
7670,BioShock™,2007-08-21,,92.13,0,88,34,
7730,X-COM: Interceptor,2008-09-04,4.99,53.28,0,87,34,
7760,X-COM: UFO Defense,2008-09-04,4.99,92.26,0,87,34,
7770,X-COM: Enforcer,2008-09-04,4.99,54.29,0,87,34,
7800,Stubbs the Zombie in Rebel Without a Pulse,2021-03-16,16.79,86.49,35,89,58,
7830,Men of War™,2009-05-06,4.99,85.15,0,90,27,
7840,Death Track®: Resurrection,2009-05-06,2.99,63.11,0,91,27,
7860,NecroVision,2009-05-20,4.99,66.56,0,92,27,
7940,Call of Duty® 4: Modern Warfare®,2007-11-12,19.99,90.5,0,24,20,
8000,Tomb Raider: Anniversary,2007-06-05,8.99,79.15,0,80,53,
8080,Kane and Lynch: Dead Men™,2007-12-13,,65.18,0,93,53,
8100,Conflict: Denied Ops,2008-02-08,5.99,50.97,0,94,53,
8140,Tomb Raider: Underworld,2008-11-21,8.99,73.93,0,80,53,
8170,Battlestations Pacific,2009-05-12,,67.43,0,95,53,
8190,Just Cause 2,2010-03-23,14.99,88.79,50,77,53,
8330,Telltale Texas Hold ‘Em,2008-06-17,0.79,58.6,0,96,59,
8340,Strong Bad's Cool Game for Attractive People: Season 1,2008-12-18,12.49,85.61,0,96,59,
8400,Geometry Wars: Retro Evolved,2007-06-18,3.99,84.59,0,97,20,
8500,EVE Online,2010-12-15,0.0,79.49,0,98,60,
8600,RACE 07,2007-10-15,2.99,84.24,0,51,36,
8650,RACE 07: Andy Priaulx Crowne Plaza Raceway (Free DLC),2008-06-25,0.0,50.0,0,51,36,8600
8660,GTR Evolution Expansion Pack for RACE 07,2008-09-01,5.99,76.13,0,51,36,8600
8690,STCC - The Game 1 - Expansion Pack for RACE 07,2008-10-22,1.99,64.76,0,51,36,8600
8780,RACE On,2009-10-16,5.99,50.0,0,51,36,
8790,GTR 2 FIA GT Racing Game,2012-12-12,5.99,83.59,0,99,36,
8800,Civilization IV: Beyond the Sword,2007-07-24,9.99,92.27,0,46,34,
8850,BioShock® 2,2010-02-09,,86.6,68,100,34,
8870,BioShock Infinite,2013-03-25,29.99,93.65,80,101,34,
8880,Freedom Force,2009-05-29,3.99,58.09,0,101,34,
8890,Freedom Force vs. the Third Reich,2009-05-29,3.99,80.45,0,101,34,
8930,Sid Meier's Civilization® V,2010-09-23,29.99,94.69,286,46,34,
8970,Axel and Pixel,2010-10-06,4.49,65.57,12,102,34,
8980,Borderlands Game of the Year,,29.99,91.08,80,1,34,
8990,Borderlands: The Zombie Island of Dr. Ned,2009-12-08,29.99,80.8,0,1,34,8980
9000,Spear of Destiny,2007-08-03,2.99,79.53,0,11,10,
9010,Return to Castle Wolfenstein,2007-08-03,4.99,89.43,0,25,12,
9050,DOOM 3,2007-08-03,4.99,86.3,0,11,10,
9060,HeXen II,2007-08-03,4.99,76.33,0,15,10,
9070,DOOM 3 Resurrection of Evil,2007-08-03,2.99,79.79,0,11,10,9050
9160,Master Levels for Doom II,2007-08-03,14.99,72.62,0,11,10,
9180,Commander Keen,2007-08-03,4.99,88.28,0,11,10,
9200,RAGE,2011-10-03,9.99,73.6,60,11,11,
9310,"Warhammer® 40,000: Dawn of War® – Winter Assault",2007-08-07,12.99,85.7,0,56,40,
9340,Company of Heroes: Opposing Fronts,2007-09-24,12.99,84.73,0,56,40,
9350,Supreme Commander,2011-09-28,9.99,84.15,0,103,53,
9420,Supreme Commander: Forged Alliance,2011-09-28,9.99,93.44,0,103,53,
9450,"Warhammer® 40,000: Dawn of War® - Soulstorm",2008-03-07,12.99,92.51,0,56,40,
9460,Frontlines™: Fuel of War™,2008-02-29,9.99,63.17,0,104,22,
9480,Saints Row 2,2009-01-07,9.99,75.25,0,105,61,
9500,Gish,2007-07-20,8.19,59.55,11,106,62,
9710,Desperados 2: Cooper's Revenge,2008-03-12,9.99,46.99,0,107,22,
9730,Tycoon City: New York,2008-03-12,9.99,41.21,0,108,63,
9760,Act of War: High Treason,2008-03-12,2.99,76.0,0,27,22,
9800,Death to Spies,2008-03-12,4.99,71.17,0,109,27,
9850,Codename: Panzers - Cold War,2009-05-06,14.99,62.61,0,110,22,
9880,Champions Online,2011-06-14,0.0,56.02,709,111,64,
9900,Star Trek Online,2012-01-31,0.0,71.72,0,111,64,
9940,Blade Kitten,2014-05-22,2.49,78.24,20,112,65,
9960,Haunted House™,2010-09-28,5.99,45.67,0,113,66,
9970,Star Raiders,2011-05-11,9.99,31.25,12,114,66,
9980,The UnderGarden,2010-11-10,6.99,61.68,0,115,63,
10090,Call of Duty: World at War,2008-11-18,19.99,90.49,0,116,20,
10100,King's Quest™ Collection,2009-07-23,19.99,76.75,0,117,20,
10110,Space Quest™ Collection,2009-07-23,9.99,77.58,0,117,20,
10120,Aces of the Galaxy™,2009-07-23,9.99,47.17,0,115,20,
10130,TimeShift™,2009-07-23,14.99,75.9,0,118,20,
10140,3D Ultra™ Minigolf Adventures,2009-07-23,9.99,61.03,0,119,20,
10150,Prototype™,2009-06-12,19.99,77.97,0,120,20,
10180,Call of Duty®: Modern Warfare® 2,2009-11-11,19.99,90.65,50,24,20,
10195,Call of Duty®: Modern Warfare® 2 Stimulus Package,2010-05-04,13.99,60.43,0,24,20,10180
10196,Call of Duty®: Modern Warfare® 2 Resurgence Pack,2010-07-06,13.99,54.76,0,24,20,10180
10220,Postal III,2012-02-17,11.99,39.47,38,121,67,
10230,Dead Mountaineer's Hotel,2011-10-28,7.99,40.29,0,122,67,
10240,A Stroke of Fate: Operation Valkyrie,2011-10-28,6.99,60.34,0,123,67,
10250,PT Boats: Knights of the Sea,2011-10-28,6.99,48.07,0,124,67,
10260,PT Boats: South Gambit,2011-10-28,6.99,45.67,0,125,67,
10270,Disciples III: Reincarnation,2014-02-14,9.99,66.46,0,126,51,
10460,The Club™,2008-02-20,9.99,54.67,0,97,40,
10500,Total War: EMPIRE – Definitive Edition,2009-03-04,24.99,87.32,30,57,40,
10520,Beijing 2008™ - The Official Video Game of the Olympic Games,2008-08-14,,50.0,0,127,40,
10600,Empire: Total War™ - Special Forces Units and Bonus Content,2009-03-04,24.99,80.59,0,57,40,10500
10604,Empire: Total War™ - Elite Units of the West,2009-06-22,24.99,73.59,0,57,40,10500
10606,Empire: Total War™ - The Warpath Campaign,2009-10-05,24.99,61.8,0,57,40,10500
10607,Empire: Total War™ - Elite Units of America,2009-12-07,24.99,68.48,0,57,40,10500
10608,Empire: Total War™ - Elite Units of the East,2010-02-08,24.99,79.08,0,57,40,10500
10680,Aliens vs. Predator™,2010-02-16,14.99,87.68,50,41,40,
10695,Aliens vs. Predator Swarm Map Pack,2010-03-17,5.99,69.46,0,41,40,10680
10697,Aliens vs Predator™ Bughunt Map Pack,2010-07-01,5.99,67.75,0,41,40,10680
11020,TrackMania Nations Forever,2008-04-16,0.0,78.18,0,82,9,
11040,Sherlock Holmes - Nemesis,2008-08-07,39.99,69.91,0,128,68,
11050,Dracula: Origin,2008-08-07,9.99,64.2,0,128,68,
11130,Sherlock Holmes: The Mystery of the Mummy,2009-08-06,0.0,29.75,0,128,68,
11140,Sherlock Holmes: The Awakened - Remastered Edition,2009-08-06,39.99,68.33,0,128,68,
11150,Sherlock Holmes: The Silver Earring,2009-08-06,39.99,56.45,0,128,68,
11180,Sherlock Holmes: The Mystery of the Persian Carpet,,39.99,37.82,0,128,68,
11190,Sherlock Holmes versus Jack the Ripper,2009-12-23,39.99,74.6,0,128,68,
11200,Shadowgrounds Survivor,2007-11-14,9.99,58.7,0,17,15,
11230,Gumboy Tournament,2008-05-19,1.99,68.53,0,18,16,
11240,Space Trader: Merchant Marine,2008-10-23,4.49,51.83,40,129,69,
11250,Pacific Storm,2008-06-24,7.99,66.85,0,130,70,
11260,Pacific Storm Allies,2008-08-18,7.99,56.15,0,131,70,
11280,Penguins Arena: Sedna's World,2008-12-18,5.99,85.66,10,132,71,
11340,Larva Mortus,2009-03-19,2.39,72.04,25,129,69,
11360,Chains,2009-07-01,2.39,69.7,0,133,69,
11370,Nikopol: Secrets of the Immortals,2009-07-30,4.49,57.73,0,134,69,
11390,Crash Time 2,2009-08-27,3.99,59.98,0,129,69,
11450,Overlord™,2009-11-12,4.99,90.27,0,135,50,
11480,Soldiers: Heroes of World War II,2014-07-03,4.99,79.38,0,90,27,
11550,Second Sight,2021-04-08,9.99,76.18,0,136,22,
11560,Maelstrom: The Battle for Earth Begins,2009-02-13,4.49,61.46,0,137,50,
11590,Hospital Tycoon,2009-02-13,4.49,48.01,0,138,50,
12130,Manhunt,2008-01-04,9.99,67.76,0,139,72,
12140,Max Payne,2008-01-04,9.99,86.79,0,140,72,
12150,Max Payne 2: The Fall of Max Payne,2008-01-04,14.99,90.83,0,140,72,
12170,Grand Theft Auto,2008-01-04,,73.13,0,139,72,
12180,Grand Theft Auto 2,2008-01-04,,80.36,0,139,72,
12200,Bully: Scholarship Edition,2008-10-21,9.99,82.32,0,141,72,
12210,Grand Theft Auto IV: Complete Edition,,,75.95,55,139,72,
12220,Grand Theft Auto: Episodes from Liberty City,2010-04-12,,71.5,0,142,72,
12310,Culpa Innata,2008-01-18,9.99,69.31,0,143,6,
12320,Sacred Gold,2008-07-09,9.99,80.55,0,144,22,
12330,Darkstar One,2008-02-13,9.99,77.5,0,145,6,
12340,Jack Keane,2008-06-27,8.99,58.25,0,146,73,
12360,FlatOut: Ultimate Carnage,2008-08-26,18.99,82.69,0,31,6,
12390,Exodus from the Earth ,2008-10-24,13.99,51.27,0,147,6,
12420,Perimeter 2: New Earth,2009-02-10,14.99,29.28,0,137,6,
12430,SlamIt Pinball Big Score,2009-02-23,4.99,36.73,0,148,51,
12440,Ankh 2: Heart of Osiris ,2009-06-16,14.99,59.52,0,149,6,
12450,Ankh 3: Battle of the Gods,2009-06-16,14.99,58.14,0,149,6,
12460,BC Kings,2009-06-16,4.99,59.47,0,150,6,
12470,Port Royale 2,2009-06-16,3.99,66.68,0,145,6,
12480,9th Company: Roots Of Terror,2009-12-03,9.99,57.02,0,151,6,
12500,PuzzleQuest: Challenge of the Warlords,2008-01-29,8.19,81.77,0,152,74,
12510,Prison Tycoon 3™: Lockdown,2008-01-29,9.99,25.6,0,153,75,
12520,18 Wheels of Steel: American Long Haul,2008-01-29,9.99,70.13,0,154,75,
12530,Hunting Unlimited™ 2008,2008-01-29,4.99,72.93,0,154,32,
12540,Mahjongg Investigations: Under Suspicion,2008-07-29,9.99,70.57,0,155,32,
12560,Ride! Carnival Tycoon,2008-07-29,4.99,47.3,0,156,75,
12570,Hot Dish,2008-07-29,9.99,61.97,0,155,32,
12580,Dr. Daisy Pet Vet,2008-07-29,9.99,50.0,0,155,32,
12590,Sprint Cars Road to Knoxville,2008-07-29,4.99,58.07,0,157,75,
12600,Midnight Outlaw: 6 Hours to SunUp,2008-07-29,4.99,30.15,0,158,75,
12640,Drakensang,2009-03-09,9.99,74.76,0,159,76,
12670,Mission Runway,2009-07-17,4.99,50.0,0,160,75,
12690,Hunting Unlimited 2010,2009-07-07,9.99,76.32,0,154,32,
12710,Overlord™: Raising Hell,2009-11-12,8.99,87.86,0,135,50,
12770,Rise of the Argonauts,2009-01-07,8.99,72.15,0,161,50,
12790,Damnation,2009-05-22,9.99,50.37,0,162,50,
12810,Overlord II,2009-06-24,8.99,85.37,0,135,50,
12830,Operation Flashpoint: Dragon Rising,2009-10-07,9.99,66.07,0,163,50,
12900,AudioSurf,2008-02-15,9.99,92.77,19,164,50,
13000,Ninja Reflex: Steamworks Edition,2008-03-21,4.99,77.96,52,165,77,
